"Position","Height","Weight","FourtyYardDash","BenchPress","VerticalLeap","BroadJump","Shuttle","ThreeCone"
"C",75.38,296,5.18,25,29,111,4.66,7.5
"ILB",74.75,237,4.66,25,35,126,NA,NA
"OT",76.63,310,5.22,22,25.5,99,4.71,7.83
"OT",78.38,315,4.92,24,27,107,4.4,7.25
"CB",71.25,180,4.48,NA,39,128,NA,NA
"DE",74.88,253,4.89,NA,37.5,114,NA,NA
"DE",75.75,261,4.53,NA,38,125,NA,NA
"DT",76.25,310,NA,NA,23.5,109,4.91,NA
"OT",76.75,311,5.24,NA,26,102,4.71,7.57
"TE",75.63,246,NA,18,33,117,NA,NA
"OLB",71.38,228,4.69,NA,33,117,NA,NA
"CB",74.13,199,4.33,NA,39.5,132,3.94,6.48
"RB",68.5,205,4.6,NA,33.5,116,NA,NA
"ILB",73.13,234,4.63,21,35,118,4.15,6.88
"OT",78.5,340,5.31,27,27.5,110,4.99,7.81
"FS",70,198,NA,16,35,120,NA,NA
"WR",71,189,4.34,NA,38,121,NA,6.98
"OT",78.25,307,5.32,NA,25,106,4.65,8.09
"OLB",76.75,249,4.76,NA,40.5,133,4.55,7.09
"WR",69.63,195,4.41,NA,34.5,125,4.32,7.13
"ILB",74.75,239,4.63,27,40,129,4.28,7.06
"OT",77.75,328,5.39,NA,22,104,NA,NA
"WR",71.25,186,4.5,NA,38,128,4.28,7.03
"DE",76,250,4.55,NA,35,122,4.45,NA
"FB",74.5,238,4.52,NA,35.5,NA,NA,NA
"WR",72.38,187,4.39,NA,32,124,NA,NA
"SS",72.5,204,NA,15,35,125,NA,6.89
"RB",70.25,216,4.37,NA,33,118,NA,NA
"C",74.63,311,4.93,NA,26.5,108,4.7,7.78
"DE",74.63,268,4.77,NA,37.5,123,NA,NA
"OG",75.88,328,4.89,26,27,109,4.83,7.74
"DT",77.38,308,5.3,NA,27,100,NA,NA
"OT",79.13,325,4.89,NA,28,111,4.62,7.25
"QB",73.63,211,4.65,NA,34.5,123,4.18,6.85
"OT",77.13,316,5.14,NA,24.5,103,NA,NA
"WR",71.25,189,4.58,NA,33.5,124,NA,NA
"WR",75.25,195,4.47,NA,33,125,NA,NA
"QB",75.25,217,4.73,NA,33.5,121,4.29,NA
"WR",75.13,211,4.41,NA,40.5,129,4.28,7.13
"RB",69.63,218,4.59,21,34.5,119,NA,NA
"SS",71,198,NA,16,35,NA,4.18,6.74
"WR",75.13,195,4.59,NA,31,119,4.36,NA
"RB",73.38,210,4.38,NA,34,119,NA,NA
"QB",72.63,212,4.84,NA,27,NA,4.45,7.21
"OT",78.13,303,5.05,30,30.5,117,4.49,7.46
"WR",72.63,177,4.57,NA,33.5,118,NA,NA
"OG",76.63,321,5.25,NA,33.5,110,4.81,7.55
"QB",75.38,211,4.52,NA,36,127,4.29,7.15
"DT",77.25,320,5.3,25,28,101,4.73,7.9
"RB",67.5,195,4.6,NA,36.5,119,NA,NA
"WR",71,192,NA,NA,29,114,NA,NA
"RB",73.63,225,4.53,NA,30,119,NA,NA
"DE",77.13,252,4.72,25,41,121,4.19,7.19
"OG",75.13,319,5.25,NA,22.5,100,4.94,8.35
"WR",68,178,4.44,NA,34.5,118,NA,NA
"ILB",71,232,4.52,NA,39.5,120,NA,NA
"OLB",75.88,245,NA,NA,34,121,NA,NA
"ILB",72.38,227,4.79,NA,31,109,NA,NA
"OG",78,318,5.31,NA,27.5,108,NA,NA
"ILB",73.63,239,4.73,20,34.5,114,4.34,6.96
"WR",72.13,194,4.48,NA,34.5,121,NA,NA
"DE",77.25,228,4.67,NA,33,120,4.37,NA
"OLB",71.5,226,4.67,NA,32,120,4.33,7.01
"OG",75.88,314,5.14,NA,25.5,107,NA,NA
"WR",71.88,196,4.43,NA,34.5,124,4.21,7.28
"OLB",75.5,250,4.52,NA,37.5,128,NA,NA
"OT",76.88,327,5.02,25,27.5,105,4.65,7.78
"DE",75.38,254,4.86,NA,34,117,NA,NA
"OLB",73.13,233,4.6,NA,36,122,NA,NA
"RB",72.38,217,NA,NA,30,114,NA,NA
"CB",72.38,187,4.48,NA,37.5,126,NA,NA
"OG",76.88,307,5.03,31,28,120,4.5,7.44
"RB",71.38,207,4.37,NA,36,124,NA,NA
"OT",78.63,325,NA,NA,24.5,101,4.9,7.94
"DE",74.25,270,4.81,NA,29,115,NA,NA
"CB",72.13,199,4.36,NA,34.5,128,NA,NA
"OT",80,319,5.41,NA,26,104,4.77,NA
"DE",77,265,4.7,23,31.5,117,NA,NA
"SS",72.75,212,4.55,17,34,122,NA,NA
"OT",76.88,308,4.96,21,22.5,107,4.65,7.4
"CB",71.5,194,4.4,15,37.5,127,4.13,6.84
"QB",73.88,217,4.91,NA,31,112,4.28,7
"WR",74.38,181,4.28,NA,36.5,130,NA,NA
"ILB",73.88,230,4.47,NA,42,129,NA,NA
"WR",73.63,193,4.49,NA,36,123,4.24,7.08
"OG",76.25,304,4.94,NA,33,118,4.47,7.32
"TE",78.5,249,4.76,17,27,120,4.41,7.06
"WR",73.38,184,4.51,NA,30,113,4.53,7.45
"DT",78.13,316,NA,NA,33,107,NA,NA
"RB",67.75,194,NA,NA,29.5,118,NA,NA
"OG",78.13,315,5.27,25,25,104,4.93,8.31
"OT",79.63,312,5.03,NA,30,113,NA,NA
"RB",69.25,211,4.38,NA,34,122,NA,NA
"OLB",75.75,241,4.52,NA,32,122,NA,NA
"DE",77,272,4.51,NA,35.5,123,4.32,6.89
"RB",68,204,4.55,NA,31.5,119,NA,NA
"WR",76.13,208,4.36,NA,38.5,136,NA,NA
"C",76,299,5.2,NA,29.5,113,4.57,7.45
"C",75.25,296,5.27,NA,28,112,NA,NA
"WR",75.5,214,4.42,20,40,135,NA,NA
"RB",72.38,214,4.48,NA,38,125,NA,NA
"RB",71.75,214,4.4,NA,33.5,128,NA,NA
"CB",70.25,182,NA,17,34.5,118,NA,NA
"WR",77,210,4.65,NA,33,133,NA,NA
"CB",74.88,195,4.53,NA,36,124,NA,NA
"RB",69.25,194,4.65,NA,32,116,NA,NA
"OLB",75.63,261,4.46,NA,32.5,123,NA,NA
"DE",76.38,253,5.08,NA,26.5,104,4.58,7.12
"WR",71.75,183,4.38,NA,36,123,4.36,NA
"FS",74.13,195,4.36,NA,39.5,128,NA,NA
"WR",73.5,203,4.55,NA,34.5,125,4.46,7.07
"CB",76.13,205,4.26,NA,42,NA,NA,NA
"DT",74.88,304,4.77,NA,29,111,NA,NA
"OG",78.13,316,5.13,27,28.5,110,4.71,7.75
"QB",72.5,215,4.88,NA,30,109,4.4,7.19
