year,site,siteid,species,treeid,trw,bai,radius,age,awc100,pH,BS,C.N,tmean,prec,dri,co2
1957,Aosta,AOS,spruce,AOSpcab1,2.71,12,7.2,46,81.8,6.1,98.1,15,12.45,434,-214,315.1
1958,Aosta,AOS,spruce,AOSpcab1,1.89,8.64,7.4,47,81.8,6.1,98.1,15,13.39,388,-305,315.7
1959,Aosta,AOS,spruce,AOSpcab1,3.46,16.36,7.7,48,81.8,6.1,98.1,15,14.39,290,-428,315.8
1960,Aosta,AOS,spruce,AOSpcab1,4.65,23.23,8.2,49,81.8,6.1,98.1,15,13.68,497,-194,316.8
1961,Aosta,AOS,spruce,AOSpcab1,5.52,29.28,8.7,50,81.8,6.1,98.1,15,14.78,304,-445,317.5
1962,Aosta,AOS,spruce,AOSpcab1,3.06,17.03,9,51,81.8,6.1,98.1,15,14.18,226,-526,318.3
1963,Aosta,AOS,spruce,AOSpcab1,2.7,15.5,9.3,52,81.8,6.1,98.1,15,13.83,350,-343,318.8
1964,Aosta,AOS,spruce,AOSpcab1,1.92,11.34,9.5,53,81.8,6.1,98.1,15,14.6,395,-277,319.4
1965,Aosta,AOS,spruce,AOSpcab1,0.21,1.25,9.5,54,81.8,6.1,98.1,15,13.3,549,-78,319.9
1966,Aosta,AOS,spruce,AOSpcab1,1.94,11.72,9.7,55,81.8,6.1,98.1,15,13.99,318,-351,321.2
1967,Aosta,AOS,spruce,AOSpcab1,1.79,11.03,9.9,56,81.8,6.1,98.1,15,13.96,315,-353,322
1968,Aosta,AOS,spruce,AOSpcab1,0.62,3.8,10,57,81.8,6.1,98.1,15,13.22,463,-146,322.9
1969,Aosta,AOS,spruce,AOSpcab1,2.31,14.62,10.2,58,81.8,6.1,98.1,15,13.29,518,-108,324.5
1970,Aosta,AOS,spruce,AOSpcab1,1.4,9.02,10.3,59,81.8,6.1,98.1,15,13.68,265,-441,325.5
1971,Aosta,AOS,spruce,AOSpcab1,1.69,11.05,10.5,60,81.8,6.1,98.1,15,13.61,235,-434,326.2
1972,Aosta,AOS,spruce,AOSpcab1,2.3,15.33,10.7,61,81.8,6.1,98.1,15,12.37,334,-289,327.3
1973,Aosta,AOS,spruce,AOSpcab1,1.13,7.65,10.8,62,81.8,6.1,98.1,15,13.25,334,-297,329.5
1974,Aosta,AOS,spruce,AOSpcab1,1.11,7.53,11,63,81.8,6.1,98.1,15,12.98,220,-450,330.1
1975,Aosta,AOS,spruce,AOSpcab1,1.7,11.78,11.1,64,81.8,6.1,98.1,15,12.68,438,-226,331
1976,Aosta,AOS,spruce,AOSpcab1,0.89,6.24,11.2,65,81.8,6.1,98.1,15,12.93,271,-348,332
1977,Aosta,AOS,spruce,AOSpcab1,2.99,21.34,11.5,66,81.8,6.1,98.1,15,11.7,643,95,333.7
1978,Aosta,AOS,spruce,AOSpcab1,3.9,28.6,11.9,67,81.8,6.1,98.1,15,11.66,271,-385,335.3
1979,Aosta,AOS,spruce,AOSpcab1,2.93,22.09,12.2,68,81.8,6.1,98.1,15,12.19,172,-475,336.7
1980,Aosta,AOS,spruce,AOSpcab1,4.39,34.22,12.6,69,81.8,6.1,98.1,15,12.02,248,-383,338.5
1981,Aosta,AOS,spruce,AOSpcab1,4.38,35.35,13.1,70,81.8,6.1,98.1,15,12.75,703,90,339.8
1982,Aosta,AOS,spruce,AOSpcab1,2.59,21.47,13.3,71,81.8,6.1,98.1,15,13.28,407,-262,341
1983,Aosta,AOS,spruce,AOSpcab1,2.99,25.31,13.6,72,81.8,6.1,98.1,15,12.74,481,-147,342.6
1984,Aosta,AOS,spruce,AOSpcab1,2.35,20.29,13.9,73,81.8,6.1,98.1,15,11.79,410,-222,344.3
1985,Aosta,AOS,spruce,AOSpcab1,3.65,32.2,14.2,74,81.8,6.1,98.1,15,13.05,291,-421,345.7
1986,Aosta,AOS,spruce,AOSpcab1,3.04,27.46,14.5,75,81.8,6.1,98.1,15,12.95,545,-93,347
1987,Aosta,AOS,spruce,AOSpcab1,1.47,13.48,14.7,76,81.8,6.1,98.1,15,13.45,351,-306,348.8
1988,Aosta,AOS,spruce,AOSpcab1,2.43,22.59,14.9,77,81.8,6.1,98.1,15,13.24,293,-344,351.3
1989,Aosta,AOS,spruce,AOSpcab1,1.52,14.32,15.1,78,81.8,6.1,98.1,15,13.44,376,-294,352.8
1990,Aosta,AOS,spruce,AOSpcab1,0.68,6.45,15.1,79,81.8,6.1,98.1,15,13.73,150,-546,354
1991,Aosta,AOS,spruce,AOSpcab1,1.26,12.03,15.3,80,81.8,6.1,98.1,15,13.83,312,-345,355.5
1992,Aosta,AOS,spruce,AOSpcab1,1.24,11.94,15.4,81,81.8,6.1,98.1,15,13.89,446,-148,356.3
1993,Aosta,AOS,spruce,AOSpcab1,1.48,14.38,15.5,82,81.8,6.1,98.1,15,13.46,539,-88,357
1994,Aosta,AOS,spruce,AOSpcab1,2.11,20.73,15.8,83,81.8,6.1,98.1,15,13.55,495,-159,358.9
1995,Aosta,AOS,spruce,AOSpcab1,2.73,27.24,16,84,81.8,6.1,98.1,15,13.51,426,-178,360.9
1996,Aosta,AOS,spruce,AOSpcab1,2.11,21.38,16.2,85,81.8,6.1,98.1,15,13.41,282,-319,362.7
1997,Aosta,AOS,spruce,AOSpcab1,2.28,23.41,16.5,86,81.8,6.1,98.1,15,13.84,317,-296,363.8
1998,Aosta,AOS,spruce,AOSpcab1,1.12,11.62,16.6,87,81.8,6.1,98.1,15,14.18,395,-239,365.5
1999,Aosta,AOS,spruce,AOSpcab1,1.52,15.79,16.7,88,81.8,6.1,98.1,15,14.24,484,-98,367
2000,Aosta,AOS,spruce,AOSpcab1,1.3,13.6,16.9,89,81.8,6.1,98.1,15,14.48,582,-49,368.5
2001,Aosta,AOS,spruce,AOSpcab1,3.83,41.01,17.2,90,81.8,6.1,98.1,15,13.51,440,-146,370
2002,Aosta,AOS,spruce,AOSpcab1,2.46,26.72,17.5,91,81.8,6.1,98.1,15,13.93,684,131,371.5
2003,Aosta,AOS,spruce,AOSpcab1,0.88,9.69,17.6,92,81.8,6.1,98.1,15,15.85,201,-538,373
2004,Aosta,AOS,spruce,AOSpcab1,0.82,8.96,17.7,93,81.8,6.1,98.1,15,14.24,317,-326,374.6
2005,Aosta,AOS,spruce,AOSpcab1,0.82,9.11,17.7,94,81.8,6.1,98.1,15,14.14,344,-301,377.1
2006,Aosta,AOS,spruce,AOSpcab1,0.42,4.68,17.8,95,81.8,6.1,98.1,15,14.61,444,-244,378.8
1957,Aosta,AOS,spruce,AOSpcab2,1.31,5.39,6.6,46,81.8,6.1,98.1,15,12.45,434,-214,315.1
1958,Aosta,AOS,spruce,AOSpcab2,1.01,4.19,6.7,47,81.8,6.1,98.1,15,13.39,388,-305,315.7
1959,Aosta,AOS,spruce,AOSpcab2,1.93,8.27,6.9,48,81.8,6.1,98.1,15,14.39,290,-428,315.8
1960,Aosta,AOS,spruce,AOSpcab2,1.84,8.1,7.1,49,81.8,6.1,98.1,15,13.68,497,-194,316.8
1961,Aosta,AOS,spruce,AOSpcab2,2.55,11.58,7.4,50,81.8,6.1,98.1,15,14.78,304,-445,317.5
1962,Aosta,AOS,spruce,AOSpcab2,1.62,7.57,7.5,51,81.8,6.1,98.1,15,14.18,226,-526,318.3
1963,Aosta,AOS,spruce,AOSpcab2,1.13,5.38,7.6,52,81.8,6.1,98.1,15,13.83,350,-343,318.8
1964,Aosta,AOS,spruce,AOSpcab2,1.26,6.09,7.8,53,81.8,6.1,98.1,15,14.6,395,-277,319.4
1965,Aosta,AOS,spruce,AOSpcab2,0.17,0.83,7.8,54,81.8,6.1,98.1,15,13.3,549,-78,319.9
1966,Aosta,AOS,spruce,AOSpcab2,1.26,6.15,7.9,55,81.8,6.1,98.1,15,13.99,318,-351,321.2
1967,Aosta,AOS,spruce,AOSpcab2,1.24,6.2,8,56,81.8,6.1,98.1,15,13.96,315,-353,322
1968,Aosta,AOS,spruce,AOSpcab2,0.6,3.03,8.1,57,81.8,6.1,98.1,15,13.22,463,-146,322.9
1969,Aosta,AOS,spruce,AOSpcab2,1.2,6.09,8.2,58,81.8,6.1,98.1,15,13.29,518,-108,324.5
1970,Aosta,AOS,spruce,AOSpcab2,0.64,3.31,8.3,59,81.8,6.1,98.1,15,13.68,265,-441,325.5
1971,Aosta,AOS,spruce,AOSpcab2,0.69,3.6,8.3,60,81.8,6.1,98.1,15,13.61,235,-434,326.2
1972,Aosta,AOS,spruce,AOSpcab2,1.03,5.42,8.4,61,81.8,6.1,98.1,15,12.37,334,-289,327.3
1973,Aosta,AOS,spruce,AOSpcab2,0.96,5.12,8.5,62,81.8,6.1,98.1,15,13.25,334,-297,329.5
1974,Aosta,AOS,spruce,AOSpcab2,0.52,2.8,8.6,63,81.8,6.1,98.1,15,12.98,220,-450,330.1
1975,Aosta,AOS,spruce,AOSpcab2,1.36,7.34,8.7,64,81.8,6.1,98.1,15,12.68,438,-226,331
1976,Aosta,AOS,spruce,AOSpcab2,0.68,3.74,8.8,65,81.8,6.1,98.1,15,12.93,271,-348,332
1977,Aosta,AOS,spruce,AOSpcab2,1.08,5.94,8.9,66,81.8,6.1,98.1,15,11.7,643,95,333.7
1978,Aosta,AOS,spruce,AOSpcab2,1.48,8.34,9.1,67,81.8,6.1,98.1,15,11.66,271,-385,335.3
1979,Aosta,AOS,spruce,AOSpcab2,0.87,4.97,9.1,68,81.8,6.1,98.1,15,12.19,172,-475,336.7
1980,Aosta,AOS,spruce,AOSpcab2,1.36,7.86,9.3,69,81.8,6.1,98.1,15,12.02,248,-383,338.5
1981,Aosta,AOS,spruce,AOSpcab2,1.68,9.87,9.4,70,81.8,6.1,98.1,15,12.75,703,90,339.8
1982,Aosta,AOS,spruce,AOSpcab2,0.68,4.04,9.5,71,81.8,6.1,98.1,15,13.28,407,-262,341
1983,Aosta,AOS,spruce,AOSpcab2,0.96,5.76,9.6,72,81.8,6.1,98.1,15,12.74,481,-147,342.6
1984,Aosta,AOS,spruce,AOSpcab2,0.91,5.51,9.7,73,81.8,6.1,98.1,15,11.79,410,-222,344.3
1985,Aosta,AOS,spruce,AOSpcab2,1.4,8.58,9.8,74,81.8,6.1,98.1,15,13.05,291,-421,345.7
1986,Aosta,AOS,spruce,AOSpcab2,0.84,5.21,9.9,75,81.8,6.1,98.1,15,12.95,545,-93,347
1987,Aosta,AOS,spruce,AOSpcab2,0.37,2.25,10,76,81.8,6.1,98.1,15,13.45,351,-306,348.8
1988,Aosta,AOS,spruce,AOSpcab2,0.47,2.88,10,77,81.8,6.1,98.1,15,13.24,293,-344,351.3
1989,Aosta,AOS,spruce,AOSpcab2,0.43,2.71,10,78,81.8,6.1,98.1,15,13.44,376,-294,352.8
1990,Aosta,AOS,spruce,AOSpcab2,0.35,2.21,10.1,79,81.8,6.1,98.1,15,13.73,150,-546,354
1991,Aosta,AOS,spruce,AOSpcab2,0.39,2.47,10.1,80,81.8,6.1,98.1,15,13.83,312,-345,355.5
1992,Aosta,AOS,spruce,AOSpcab2,0.48,2.99,10.2,81,81.8,6.1,98.1,15,13.89,446,-148,356.3
1993,Aosta,AOS,spruce,AOSpcab2,0.77,4.87,10.2,82,81.8,6.1,98.1,15,13.46,539,-88,357
1994,Aosta,AOS,spruce,AOSpcab2,0.67,4.32,10.3,83,81.8,6.1,98.1,15,13.55,495,-159,358.9
1995,Aosta,AOS,spruce,AOSpcab2,1.23,7.94,10.4,84,81.8,6.1,98.1,15,13.51,426,-178,360.9
1996,Aosta,AOS,spruce,AOSpcab2,1.06,6.98,10.5,85,81.8,6.1,98.1,15,13.41,282,-319,362.7
1997,Aosta,AOS,spruce,AOSpcab2,0.84,5.58,10.6,86,81.8,6.1,98.1,15,13.84,317,-296,363.8
1998,Aosta,AOS,spruce,AOSpcab2,0.71,4.75,10.7,87,81.8,6.1,98.1,15,14.18,395,-239,365.5
1999,Aosta,AOS,spruce,AOSpcab2,0.69,4.65,10.8,88,81.8,6.1,98.1,15,14.24,484,-98,367
2000,Aosta,AOS,spruce,AOSpcab2,0.56,3.79,10.8,89,81.8,6.1,98.1,15,14.48,582,-49,368.5
2001,Aosta,AOS,spruce,AOSpcab2,0.98,6.68,10.9,90,81.8,6.1,98.1,15,13.51,440,-146,370
2002,Aosta,AOS,spruce,AOSpcab2,0.79,5.36,11,91,81.8,6.1,98.1,15,13.93,684,131,371.5
2003,Aosta,AOS,spruce,AOSpcab2,0.51,3.53,11.1,92,81.8,6.1,98.1,15,15.85,201,-538,373
2004,Aosta,AOS,spruce,AOSpcab2,0.25,1.74,11.1,93,81.8,6.1,98.1,15,14.24,317,-326,374.6
2005,Aosta,AOS,spruce,AOSpcab2,0.27,1.88,11.1,94,81.8,6.1,98.1,15,14.14,344,-301,377.1
2006,Aosta,AOS,spruce,AOSpcab2,0.17,1.19,11.1,95,81.8,6.1,98.1,15,14.61,444,-244,378.8
1957,Aosta,AOS,spruce,AOSpcab3,2.98,13.33,7.3,46,81.8,6.1,98.1,15,12.45,434,-214,315.1
1958,Aosta,AOS,spruce,AOSpcab3,1.66,7.67,7.4,47,81.8,6.1,98.1,15,13.39,388,-305,315.7
1959,Aosta,AOS,spruce,AOSpcab3,3.16,15.07,7.8,48,81.8,6.1,98.1,15,14.39,290,-428,315.8
1960,Aosta,AOS,spruce,AOSpcab3,4.61,23.11,8.2,49,81.8,6.1,98.1,15,13.68,497,-194,316.8
1961,Aosta,AOS,spruce,AOSpcab3,4.97,26.41,8.7,50,81.8,6.1,98.1,15,14.78,304,-445,317.5
1962,Aosta,AOS,spruce,AOSpcab3,2.76,15.28,9,51,81.8,6.1,98.1,15,14.18,226,-526,318.3
1963,Aosta,AOS,spruce,AOSpcab3,3.12,17.91,9.3,52,81.8,6.1,98.1,15,13.83,350,-343,318.8
1964,Aosta,AOS,spruce,AOSpcab3,2.92,17.32,9.6,53,81.8,6.1,98.1,15,14.6,395,-277,319.4
1965,Aosta,AOS,spruce,AOSpcab3,0.48,2.84,9.6,54,81.8,6.1,98.1,15,13.3,549,-78,319.9
1966,Aosta,AOS,spruce,AOSpcab3,2.22,13.53,9.9,55,81.8,6.1,98.1,15,13.99,318,-351,321.2
1967,Aosta,AOS,spruce,AOSpcab3,2.46,15.42,10.1,56,81.8,6.1,98.1,15,13.96,315,-353,322
1968,Aosta,AOS,spruce,AOSpcab3,1.03,6.5,10.2,57,81.8,6.1,98.1,15,13.22,463,-146,322.9
1969,Aosta,AOS,spruce,AOSpcab3,1.73,11.12,10.4,58,81.8,6.1,98.1,15,13.29,518,-108,324.5
1970,Aosta,AOS,spruce,AOSpcab3,1.4,9.19,10.5,59,81.8,6.1,98.1,15,13.68,265,-441,325.5
1971,Aosta,AOS,spruce,AOSpcab3,1.77,11.79,10.7,60,81.8,6.1,98.1,15,13.61,235,-434,326.2
1972,Aosta,AOS,spruce,AOSpcab3,2.99,20.36,11,61,81.8,6.1,98.1,15,12.37,334,-289,327.3
1973,Aosta,AOS,spruce,AOSpcab3,2.62,18.23,11.3,62,81.8,6.1,98.1,15,13.25,334,-297,329.5
1974,Aosta,AOS,spruce,AOSpcab3,2.05,14.55,11.5,63,81.8,6.1,98.1,15,12.98,220,-450,330.1
1975,Aosta,AOS,spruce,AOSpcab3,3.12,22.69,11.8,64,81.8,6.1,98.1,15,12.68,438,-226,331
1976,Aosta,AOS,spruce,AOSpcab3,1.94,14.46,12,65,81.8,6.1,98.1,15,12.93,271,-348,332
1977,Aosta,AOS,spruce,AOSpcab3,4.47,34.22,12.4,66,81.8,6.1,98.1,15,11.7,643,95,333.7
1978,Aosta,AOS,spruce,AOSpcab3,4.31,34.1,12.9,67,81.8,6.1,98.1,15,11.66,271,-385,335.3
1979,Aosta,AOS,spruce,AOSpcab3,2.46,20.03,13.1,68,81.8,6.1,98.1,15,12.19,172,-475,336.7
1980,Aosta,AOS,spruce,AOSpcab3,3.05,25.36,13.4,69,81.8,6.1,98.1,15,12.02,248,-383,338.5
1981,Aosta,AOS,spruce,AOSpcab3,4.81,41.19,13.9,70,81.8,6.1,98.1,15,12.75,703,90,339.8
1982,Aosta,AOS,spruce,AOSpcab3,2.23,19.5,14.1,71,81.8,6.1,98.1,15,13.28,407,-262,341
1983,Aosta,AOS,spruce,AOSpcab3,2.53,22.6,14.4,72,81.8,6.1,98.1,15,12.74,481,-147,342.6
1984,Aosta,AOS,spruce,AOSpcab3,2.08,18.88,14.6,73,81.8,6.1,98.1,15,11.79,410,-222,344.3
1985,Aosta,AOS,spruce,AOSpcab3,3.7,34.26,14.9,74,81.8,6.1,98.1,15,13.05,291,-421,345.7
1986,Aosta,AOS,spruce,AOSpcab3,3.92,37.23,15.3,75,81.8,6.1,98.1,15,12.95,545,-93,347
1987,Aosta,AOS,spruce,AOSpcab3,1.08,10.43,15.4,76,81.8,6.1,98.1,15,13.45,351,-306,348.8
1988,Aosta,AOS,spruce,AOSpcab3,1.79,17.35,15.6,77,81.8,6.1,98.1,15,13.24,293,-344,351.3
1989,Aosta,AOS,spruce,AOSpcab3,1.16,11.41,15.7,78,81.8,6.1,98.1,15,13.44,376,-294,352.8
1990,Aosta,AOS,spruce,AOSpcab3,0.59,5.74,15.8,79,81.8,6.1,98.1,15,13.73,150,-546,354
1991,Aosta,AOS,spruce,AOSpcab3,1.12,11.04,15.9,80,81.8,6.1,98.1,15,13.83,312,-345,355.5
1992,Aosta,AOS,spruce,AOSpcab3,1.22,12.12,16,81,81.8,6.1,98.1,15,13.89,446,-148,356.3
1993,Aosta,AOS,spruce,AOSpcab3,1.08,10.9,16.1,82,81.8,6.1,98.1,15,13.46,539,-88,357
1994,Aosta,AOS,spruce,AOSpcab3,1.43,14.44,16.3,83,81.8,6.1,98.1,15,13.55,495,-159,358.9
1995,Aosta,AOS,spruce,AOSpcab3,1.6,16.42,16.4,84,81.8,6.1,98.1,15,13.51,426,-178,360.9
1996,Aosta,AOS,spruce,AOSpcab3,1.8,18.67,16.6,85,81.8,6.1,98.1,15,13.41,282,-319,362.7
1997,Aosta,AOS,spruce,AOSpcab3,1.4,14.66,16.8,86,81.8,6.1,98.1,15,13.84,317,-296,363.8
1998,Aosta,AOS,spruce,AOSpcab3,1.04,10.97,16.9,87,81.8,6.1,98.1,15,14.18,395,-239,365.5
1999,Aosta,AOS,spruce,AOSpcab3,0.74,7.85,16.9,88,81.8,6.1,98.1,15,14.24,484,-98,367
2000,Aosta,AOS,spruce,AOSpcab3,0.91,9.7,17,89,81.8,6.1,98.1,15,14.48,582,-49,368.5
2001,Aosta,AOS,spruce,AOSpcab3,2.19,23.44,17.2,90,81.8,6.1,98.1,15,13.51,440,-146,370
2002,Aosta,AOS,spruce,AOSpcab3,1.98,21.55,17.4,91,81.8,6.1,98.1,15,13.93,684,131,371.5
2003,Aosta,AOS,spruce,AOSpcab3,1.15,12.52,17.6,92,81.8,6.1,98.1,15,15.85,201,-538,373
2004,Aosta,AOS,spruce,AOSpcab3,0.82,8.94,17.6,93,81.8,6.1,98.1,15,14.24,317,-326,374.6
2005,Aosta,AOS,spruce,AOSpcab3,1.16,12.88,17.8,94,81.8,6.1,98.1,15,14.14,344,-301,377.1
2006,Aosta,AOS,spruce,AOSpcab3,0.78,8.71,17.8,95,81.8,6.1,98.1,15,14.61,444,-244,378.8
1957,Aosta,AOS,spruce,AOSpcab4,1.8,7.87,7.1,46,81.8,6.1,98.1,15,12.45,434,-214,315.1
1958,Aosta,AOS,spruce,AOSpcab4,0.81,3.56,7.1,47,81.8,6.1,98.1,15,13.39,388,-305,315.7
1959,Aosta,AOS,spruce,AOSpcab4,1.77,8.03,7.3,48,81.8,6.1,98.1,15,14.39,290,-428,315.8
1960,Aosta,AOS,spruce,AOSpcab4,2.48,11.53,7.6,49,81.8,6.1,98.1,15,13.68,497,-194,316.8
1961,Aosta,AOS,spruce,AOSpcab4,3.04,14.72,7.9,50,81.8,6.1,98.1,15,14.78,304,-445,317.5
1962,Aosta,AOS,spruce,AOSpcab4,1.43,7.12,8,51,81.8,6.1,98.1,15,14.18,226,-526,318.3
1963,Aosta,AOS,spruce,AOSpcab4,2.09,10.64,8.2,52,81.8,6.1,98.1,15,13.83,350,-343,318.8
1964,Aosta,AOS,spruce,AOSpcab4,1.43,7.44,8.4,53,81.8,6.1,98.1,15,14.6,395,-277,319.4
1965,Aosta,AOS,spruce,AOSpcab4,0.13,0.68,8.4,54,81.8,6.1,98.1,15,13.3,549,-78,319.9
1966,Aosta,AOS,spruce,AOSpcab4,1.04,5.45,8.5,55,81.8,6.1,98.1,15,13.99,318,-351,321.2
1967,Aosta,AOS,spruce,AOSpcab4,0.92,4.92,8.6,56,81.8,6.1,98.1,15,13.96,315,-353,322
1968,Aosta,AOS,spruce,AOSpcab4,0.26,1.35,8.6,57,81.8,6.1,98.1,15,13.22,463,-146,322.9
1969,Aosta,AOS,spruce,AOSpcab4,0.89,4.83,8.7,58,81.8,6.1,98.1,15,13.29,518,-108,324.5
1970,Aosta,AOS,spruce,AOSpcab4,0.57,3.12,8.7,59,81.8,6.1,98.1,15,13.68,265,-441,325.5
1971,Aosta,AOS,spruce,AOSpcab4,1.06,5.85,8.8,60,81.8,6.1,98.1,15,13.61,235,-434,326.2
1972,Aosta,AOS,spruce,AOSpcab4,1.54,8.63,9,61,81.8,6.1,98.1,15,12.37,334,-289,327.3
1973,Aosta,AOS,spruce,AOSpcab4,0.74,4.2,9.1,62,81.8,6.1,98.1,15,13.25,334,-297,329.5
1974,Aosta,AOS,spruce,AOSpcab4,0.61,3.49,9.1,63,81.8,6.1,98.1,15,12.98,220,-450,330.1
1975,Aosta,AOS,spruce,AOSpcab4,1.12,6.46,9.2,64,81.8,6.1,98.1,15,12.68,438,-226,331
1976,Aosta,AOS,spruce,AOSpcab4,0.43,2.5,9.3,65,81.8,6.1,98.1,15,12.93,271,-348,332
1977,Aosta,AOS,spruce,AOSpcab4,1.11,6.51,9.4,66,81.8,6.1,98.1,15,11.7,643,95,333.7
1978,Aosta,AOS,spruce,AOSpcab4,1,5.87,9.5,67,81.8,6.1,98.1,15,11.66,271,-385,335.3
1979,Aosta,AOS,spruce,AOSpcab4,0.88,5.27,9.6,68,81.8,6.1,98.1,15,12.19,172,-475,336.7
1980,Aosta,AOS,spruce,AOSpcab4,1.25,7.57,9.7,69,81.8,6.1,98.1,15,12.02,248,-383,338.5
1981,Aosta,AOS,spruce,AOSpcab4,1.92,11.82,9.9,70,81.8,6.1,98.1,15,12.75,703,90,339.8
1982,Aosta,AOS,spruce,AOSpcab4,0.98,6.12,10,71,81.8,6.1,98.1,15,13.28,407,-262,341
1983,Aosta,AOS,spruce,AOSpcab4,1.35,8.54,10.1,72,81.8,6.1,98.1,15,12.74,481,-147,342.6
1984,Aosta,AOS,spruce,AOSpcab4,1.15,7.36,10.3,73,81.8,6.1,98.1,15,11.79,410,-222,344.3
1985,Aosta,AOS,spruce,AOSpcab4,1.52,9.86,10.4,74,81.8,6.1,98.1,15,13.05,291,-421,345.7
1986,Aosta,AOS,spruce,AOSpcab4,0.92,6.04,10.5,75,81.8,6.1,98.1,15,12.95,545,-93,347
1987,Aosta,AOS,spruce,AOSpcab4,0.54,3.57,10.6,76,81.8,6.1,98.1,15,13.45,351,-306,348.8
1988,Aosta,AOS,spruce,AOSpcab4,1.19,7.86,10.7,77,81.8,6.1,98.1,15,13.24,293,-344,351.3
1989,Aosta,AOS,spruce,AOSpcab4,0.64,4.23,10.7,78,81.8,6.1,98.1,15,13.44,376,-294,352.8
1990,Aosta,AOS,spruce,AOSpcab4,0.21,1.42,10.8,79,81.8,6.1,98.1,15,13.73,150,-546,354
1991,Aosta,AOS,spruce,AOSpcab4,0.1,0.61,10.8,80,81.8,6.1,98.1,15,13.83,312,-345,355.5
1992,Aosta,AOS,spruce,AOSpcab4,0.25,1.69,10.8,81,81.8,6.1,98.1,15,13.89,446,-148,356.3
1993,Aosta,AOS,spruce,AOSpcab4,0.27,1.83,10.8,82,81.8,6.1,98.1,15,13.46,539,-88,357
1994,Aosta,AOS,spruce,AOSpcab4,0.18,1.22,10.8,83,81.8,6.1,98.1,15,13.55,495,-159,358.9
1995,Aosta,AOS,spruce,AOSpcab4,0.33,2.25,10.9,84,81.8,6.1,98.1,15,13.51,426,-178,360.9
1996,Aosta,AOS,spruce,AOSpcab4,0.19,1.3,10.9,85,81.8,6.1,98.1,15,13.41,282,-319,362.7
1997,Aosta,AOS,spruce,AOSpcab4,0.19,1.23,10.9,86,81.8,6.1,98.1,15,13.84,317,-296,363.8
1998,Aosta,AOS,spruce,AOSpcab4,0.26,1.78,10.9,87,81.8,6.1,98.1,15,14.18,395,-239,365.5
1999,Aosta,AOS,spruce,AOSpcab4,0.37,2.54,11,88,81.8,6.1,98.1,15,14.24,484,-98,367
2000,Aosta,AOS,spruce,AOSpcab4,0.45,3.1,11,89,81.8,6.1,98.1,15,14.48,582,-49,368.5
2001,Aosta,AOS,spruce,AOSpcab4,0.76,5.27,11.1,90,81.8,6.1,98.1,15,13.51,440,-146,370
2002,Aosta,AOS,spruce,AOSpcab4,0.45,3.07,11.1,91,81.8,6.1,98.1,15,13.93,684,131,371.5
2003,Aosta,AOS,spruce,AOSpcab4,0.3,2.03,11.2,92,81.8,6.1,98.1,15,15.85,201,-538,373
2004,Aosta,AOS,spruce,AOSpcab4,0.34,2.39,11.2,93,81.8,6.1,98.1,15,14.24,317,-326,374.6
2005,Aosta,AOS,spruce,AOSpcab4,0.39,2.75,11.2,94,81.8,6.1,98.1,15,14.14,344,-301,377.1
2006,Aosta,AOS,spruce,AOSpcab4,0.24,1.62,11.3,95,81.8,6.1,98.1,15,14.61,444,-244,378.8
1957,Aosta,AOS,spruce,AOSpcab5,0.85,1.56,3,46,81.8,6.1,98.1,15,12.45,434,-214,315.1
1958,Aosta,AOS,spruce,AOSpcab5,0.49,0.92,3,47,81.8,6.1,98.1,15,13.39,388,-305,315.7
1959,Aosta,AOS,spruce,AOSpcab5,1.02,1.94,3.1,48,81.8,6.1,98.1,15,14.39,290,-428,315.8
1960,Aosta,AOS,spruce,AOSpcab5,1.03,2.04,3.2,49,81.8,6.1,98.1,15,13.68,497,-194,316.8
1961,Aosta,AOS,spruce,AOSpcab5,1.15,2.34,3.3,50,81.8,6.1,98.1,15,14.78,304,-445,317.5
1962,Aosta,AOS,spruce,AOSpcab5,1.1,2.34,3.4,51,81.8,6.1,98.1,15,14.18,226,-526,318.3
1963,Aosta,AOS,spruce,AOSpcab5,1.13,2.48,3.6,52,81.8,6.1,98.1,15,13.83,350,-343,318.8
1964,Aosta,AOS,spruce,AOSpcab5,1.16,2.63,3.7,53,81.8,6.1,98.1,15,14.6,395,-277,319.4
1965,Aosta,AOS,spruce,AOSpcab5,0.28,0.65,3.7,54,81.8,6.1,98.1,15,13.3,549,-78,319.9
1966,Aosta,AOS,spruce,AOSpcab5,1.05,2.47,3.8,55,81.8,6.1,98.1,15,13.99,318,-351,321.2
1967,Aosta,AOS,spruce,AOSpcab5,0.89,2.12,3.9,56,81.8,6.1,98.1,15,13.96,315,-353,322
1968,Aosta,AOS,spruce,AOSpcab5,0.47,1.13,3.9,57,81.8,6.1,98.1,15,13.22,463,-146,322.9
1969,Aosta,AOS,spruce,AOSpcab5,1.08,2.68,4,58,81.8,6.1,98.1,15,13.29,518,-108,324.5
1970,Aosta,AOS,spruce,AOSpcab5,0.69,1.74,4.1,59,81.8,6.1,98.1,15,13.68,265,-441,325.5
1971,Aosta,AOS,spruce,AOSpcab5,0.98,2.56,4.2,60,81.8,6.1,98.1,15,13.61,235,-434,326.2
1972,Aosta,AOS,spruce,AOSpcab5,2.01,5.41,4.4,61,81.8,6.1,98.1,15,12.37,334,-289,327.3
