"fg_result","distance","wind","rain"
1,19,5,TRUE
1,52,5,TRUE
1,39,5,TRUE
0,37,4,FALSE
1,42,4,FALSE
1,51,4,FALSE
1,20,4,FALSE
0,28,6,FALSE
1,37,6,FALSE
1,30,6,FALSE
0,45,6,FALSE
1,22,6,FALSE
1,28,6,FALSE
1,52,6,FALSE
1,42,3,FALSE
1,47,3,FALSE
1,47,3,FALSE
1,53,3,FALSE
1,36,3,FALSE
1,39,3,FALSE
1,63,3,FALSE
1,49,10,FALSE
1,24,10,FALSE
0,57,10,FALSE
0,48,10,FALSE
1,30,10,FALSE
1,25,8,FALSE
1,54,8,FALSE
1,40,8,FALSE
1,39,8,FALSE
1,50,8,FALSE
1,46,8,FALSE
1,37,NA,FALSE
1,53,NA,FALSE
1,44,NA,FALSE
1,26,NA,FALSE
1,37,NA,FALSE
1,48,NA,FALSE
1,33,NA,FALSE
1,23,NA,FALSE
1,52,NA,FALSE
1,27,NA,FALSE
1,49,0,FALSE
1,32,0,FALSE
1,56,0,FALSE
1,29,0,FALSE
1,50,8,FALSE
1,25,8,FALSE
0,53,8,FALSE
1,47,8,FALSE
1,30,7,FALSE
1,21,7,FALSE
1,31,7,FALSE
1,48,7,FALSE
1,32,7,FALSE
1,37,7,FALSE
1,45,7,FALSE
1,37,7,FALSE
1,45,7,FALSE
1,50,NA,FALSE
1,46,NA,FALSE
1,32,NA,FALSE
1,55,NA,FALSE
1,42,0,FALSE
1,48,0,FALSE
1,43,0,FALSE
1,24,0,FALSE
1,24,0,FALSE
1,30,0,FALSE
1,39,0,FALSE
1,50,0,FALSE
1,28,0,FALSE
1,26,6,FALSE
1,39,6,FALSE
1,28,6,FALSE
0,47,6,FALSE
1,24,6,FALSE
1,21,6,FALSE
1,33,9,FALSE
1,28,9,FALSE
1,44,9,FALSE
1,33,3,FALSE
1,21,3,FALSE
1,33,3,FALSE
0,52,3,FALSE
0,54,3,FALSE
1,30,3,FALSE
1,21,6,FALSE
1,24,6,FALSE
0,48,10,FALSE
1,44,10,FALSE
1,26,10,FALSE
1,43,10,FALSE
1,29,5,FALSE
1,39,5,FALSE
1,46,5,FALSE
1,51,5,FALSE
1,44,5,FALSE
1,43,5,FALSE
1,27,5,FALSE
1,45,NA,FALSE
1,35,NA,FALSE
1,57,NA,FALSE
1,36,NA,FALSE
1,34,NA,FALSE
0,36,19,FALSE
1,46,19,FALSE
0,53,10,FALSE
1,26,10,FALSE
1,33,10,FALSE
1,38,7,FALSE
0,40,7,FALSE
1,59,7,FALSE
1,21,12,FALSE
1,25,12,FALSE
1,47,12,FALSE
0,52,12,FALSE
1,43,NA,FALSE
1,41,NA,FALSE
1,29,8,FALSE
1,28,8,FALSE
1,35,8,FALSE
1,50,8,FALSE
0,46,8,FALSE
1,44,15,FALSE
1,48,15,FALSE
1,35,5,FALSE
1,37,5,FALSE
1,33,5,FALSE
1,51,5,FALSE
1,26,16,FALSE
0,42,16,FALSE
1,22,16,FALSE
1,55,16,FALSE
1,43,16,FALSE
1,46,9,FALSE
1,29,9,FALSE
1,31,15,FALSE
1,39,15,FALSE
1,31,NA,FALSE
1,40,NA,FALSE
1,36,NA,FALSE
1,50,NA,FALSE
